complaint_text,category,days_pending,location_type,priority
Loose eletric wires hanging,Electricity,5,Hospital Area,Medium
Drain water mixed on road citizens suffering,Drainage,4,Hospital Area,Medium
Big pothole near school since many days,Road Damage,1,School Area,Low
Pipeline burst near market and also Garbage not collected for {} days,Water Issue,5,Highway,Critical
Drain cleaning required urgently immediate action needed,Drainage,2,Hospital Area,Low
Waste dumping issue not fixed yet,Garbage,2,Residential,Low
Garbage not collected for 2 days and also Drain blockage for {} days dangerous situation,Garbage,2,Hospital Area,High
Power outage for 5 hours,Electricity,5,Highway,Critical
Road cracked badly after rain causing problems,Road Damage,8,Hospital Area,High
Garbage scattered everywhere very urgent,Garbage,2,Highway,Critical
No proper water supply not fixed yet,Water Issue,4,Hospital Area,Medium
Sewage overflow not fixed yet,Drainage,2,Hospital Area,Low
Drain cleaning required urgently very urgent,Drainage,5,Residential,Medium
Sewage overflow and also Overflowing dustbins near road,Drainage,7,Hospital Area,High
Loose electric wires hanging immediate action needed,Electricity,10,Highway,Critical
Power outage for 2 hours,Electricity,2,School Area,Low
Dirty watr coming from taps please resolve soon,Water Issue,3,Hospital Area,Low
Electric pole sparking and also Dirty water coming from taps,Electricity,10,School Area,High
Water leakage for 5 days and also Road sinking problem since many days,Water Issue,5,Market,Medium
Road cracked badly after rain kindly look into this,Road Damage,5,Residential,Medium
No proper water supply and also Uneven road surface please resolve soon,Water Issue,5,School Area,Medium
No proper watr supply and also Dirty watr coming from taps kindly look into this,Water Issue,6,School Area,Medium
Pipeline burst near market causing problems,Water Issue,10,Highway,Critical
Power outage for 7 hours dangerous situation,Electricity,7,Market,High
Water leakage for 2 days please resolve soon,Water Issue,2,Hospital Area,Low
Garbage scattered everywhere immediate action needed,Garbage,6,Market,Medium
Water logging problem very urgent,Drainage,8,School Area,High
Frequent power cuts immediate action needed,Electricity,2,Highway,Critical
Uneven road surface,Road Damage,1,School Area,Low
Uneven road surface dangerous situation,Road Damage,4,Highway,Critical
Electric pole sparking and also Drain watr mixed on road since many days,Electricity,8,Residential,High
Drain blockage for 8 days and also Garbage not collected for {} days,Drainage,8,Highway,Critical
Garbage not collected for 8 days causing problems,Garbage,8,Highway,Critical
Uneven road surface causing problems,Road Damage,3,Highway,Critical
Loose electric wires hanging kindly look into this,Electricity,9,Residential,High
Garbage not collected for 3 days causing problems,Garbage,3,Market,Low
Garbage not collected for 6 days,Garbage,6,Residential,Medium
Uneven road surface immediate action needed,Road Damage,5,Residential,Medium
Drain blockage for 1 days,Drainage,1,Highway,Critical
Sewage overflow kindly look into this,Drainage,6,Highway,Critical
No proper water supply kindly look into this,Water Issue,6,Market,Medium
Big pothole near school and also Pipeline burst near market,Road Damage,3,Market,Low
No proper water supply and also Streetlight not working please resolve soon,Water Issue,3,Hospital Area,Low
Water leakage for 5 days causing problems,Water Issue,5,Hospital Area,Medium
Frequent power cuts,Electricity,3,Hospital Area,Low
Loose electric wires hanging citizens suffering,Electricity,10,Residential,High
Road cracked badly after rain dangerous situation,Road Damage,9,Residential,High
Bad smell due to garbge dangerous situation,Garbage,9,Hospital Area,High
Water leakage for 4 days,Water Issue,4,School Area,Medium
Drain water mixed on road and also Overflowing dustbins near road,Drainage,10,Market,High
Waste dumping issue immediate action needed,Garbage,8,Market,High
Drain cleaning required urgently,Drainage,3,Market,Low
Sewage overflow and also Garbage not collected for {} days causing problems,Drainage,4,Hospital Area,Medium
Pothole causing accidents,Road Damage,6,Market,Critical
Bad smell due to garbage very urgent,Garbage,3,School Area,Low
Low water pressure in area and also Electric pole sparking not fixed yet,Water Issue,8,Hospital Area,High
Sewage overflow causing problems,Drainage,5,School Area,Medium
Pipeline burst near market please resolve soon,Water Issue,6,School Area,Medium
Uneven road surface citizens suffering,Road Damage,6,Market,Medium
Frequent power cuts please resolve soon,Electricity,10,Residential,High
Pipeline burst near market and also Sewage overflow,Water Issue,7,Market,High
Low water pressure in area and also Electric pole sparking since many days,Water Issue,1,Highway,Critical
Drain cleaning required urgently and also Overflowing dustbins near road please resolve soon,Drainage,9,Highway,Critical
Waste dumping issue,Garbage,4,Residential,Medium
Garbage scattered everywhere and also Road sinking problem,Garbage,8,Residential,High
Drain blockage for 2 days immediate action needed,Drainage,2,Highway,Critical
Streetlight not working and also Water logging problem,Electricity,7,School Area,High
Big pothole near school very urgent,Road Damage,4,Highway,Critical
Power outage for 6 hours and also Big pothole near school very urgent,Electricity,6,Hospital Area,Medium
Road sinking problem and also Waste dumping issue,Road Damage,2,School Area,Low
Drain water mixed on road and also Water logging problem,Drainage,9,School Area,High
Uneven raod surface citizens suffering,Road Damage,3,School Area,Low
Uneven road surface and also Road sinking problem very urgent,Road Damage,4,Hospital Area,Medium
Road sinking problem very urgent,Road Damage,9,Hospital Area,High
Garbage not collected for 3 days since many days,Garbage,3,Residential,Low
Water logging problem causing problems,Drainage,7,Residential,High
Big pothole near school,Road Damage,8,Residential,High
Sewage overflow dangerous situation,Drainage,9,School Area,High
Sewage overflow,Drainage,7,Market,High
Frequent power cuts and also Streetlight not working please resolve soon,Electricity,1,School Area,Low
Water leakage for 5 days citizens suffering,Water Issue,5,School Area,Medium
Power outage for 10 hours and also Sewage overflow immediate action needed,Electricity,10,Hospital Area,High
Sewage overflow,Drainage,2,Hospital Area,Low
Drain water mixed on road kindly look into this,Drainage,1,Hospital Area,Low
Frequent power cuts since many days,Electricity,3,Highway,Critical
Road sinking problem,Road Damage,10,Residential,High
Garbage scattered everywhere and also Drain cleaning required urgently citizens suffering,Garbage,8,Hospital Area,High
Pothole causing accidents and also Road sinking problem,Road Damage,9,School Area,Critical
Water logging problem,Drainage,5,Highway,Critical
Drain cleaning required urgently,Drainage,1,Market,Low
Drain cleaning required urgently immediate action needed,Drainage,5,Hospital Area,Medium
Overflowing dustbins near road,Garbage,9,Residential,High
Road sinking problem and also Sewage overflow causing problems,Road Damage,7,Highway,Critical
Low water pressure in area dangerous situation,Water Issue,2,Market,High
Water leakage for 10 days not fixed yet,Water Issue,10,Residential,High
Drain cleaning required urgently and also Road sinking problem immediate action needed,Drainage,1,Market,Low
Frequent power cuts and also Road sinking problem citizens suffering,Electricity,9,School Area,High
Pothole causing accidents and also Water leakage for {} days very urgent,Road Damage,8,School Area,Critical
Streetlight not working dangerous situation,Electricity,10,Hospital Area,High
Frequent power cuts very urgent,Electricity,5,Market,Medium
Garbage scattered everywhere very urgent,Garbage,7,Market,High
Sewage overflow not fixed yet,Drainage,5,School Area,Medium
Water leakage for 5 days and also No proper water supply dangerous situation,Water Issue,5,Hospital Area,High
Overflowing dustbins near road immediate action needed,Garbage,10,Market,High
Road cracked badly after rain since many days,Road Damage,4,School Area,Medium
Pothole causing accidents and also Frequent power cuts,Road Damage,4,Highway,Critical
Garbage not collected for 1 days causing problems,Garbage,1,Hospital Area,Low
Pipeline burst near market not fixed yet,Water Issue,2,School Area,Low
Big pothole near school very urgent,Road Damage,4,Hospital Area,Medium
Power outage for 9 hours kindly look into this,Electricity,9,Highway,Critical
Drain water mixed on road kindly look into this,Drainage,5,Residential,Medium
Water leakage for 3 days,Water Issue,3,Residential,Low
Streetlight not working,Electricity,2,School Area,Low
Garbage scattered everywhere and also Power outage for {} hours immediate action needed,Garbage,5,Residential,Medium
Pipeline burst near market,Water Issue,8,Hospital Area,High
Drain blockage for 2 days please resolve soon,Drainage,2,Residential,Low
Overflowing dustbins near road and also Drain cleaning required urgently not fixed yet,Garbage,1,Highway,Critical
Pipeline burst near market and also Garbage scattered everywhere,Water Issue,8,Market,High
Pipeline burst near market,Water Issue,1,Market,Low
Garbage not collected for 9 days kindly look into this,Garbage,9,School Area,High
Road sinking problem please resolve soon,Road Damage,4,Highway,Critical
No proper water supply,Water Issue,10,School Area,High
Power outage for 10 hours,Electricity,10,Residential,High
Water leakage for 6 days immediate action needed,Water Issue,6,School Area,Medium
Drain blockage for 8 days and also Water logging problem,Drainage,8,Hospital Area,High
Frequent power cuts,Electricity,3,Highway,Critical
Frequent power cuts,Electricity,8,Market,High
Drain blockage for 3 days,Drainage,3,Highway,Critical
Frequent power cuts immediate action needed,Electricity,4,School Area,Medium
Frequent power cuts immediate action needed,Electricity,3,Market,Low
Waste dumping issue very urgent,Garbage,10,Highway,Critical
Electric pole sparking very urgent,Electricity,1,Hospital Area,High
Water leakage for 2 days and also Low water pressure in area,Water Issue,2,Residential,Low
Pipeline burst near market and also Big pothole near school,Water Issue,7,School Area,High
Water leakage for 1 days immediate action needed,Water Issue,1,Highway,Critical
No proper water supply and also Drain blockage for {} days,Water Issue,4,School Area,Medium
Pothole causing accidents,Road Damage,9,School Area,Critical
Dirty watr coming from taps citizens suffering,Water Issue,4,Highway,Critical
Frequent power cuts dangerous situation,Electricity,3,Market,High
Pipeline burst near market,Water Issue,1,Residential,Low
Pipeline burst near market kindly look into this,Water Issue,6,Residential,Medium
Waste dumping issue dangerous situation,Garbage,7,Hospital Area,High
Electric pole sparking,Electricity,1,Highway,Critical
Garbage not collected for 4 days citizens suffering,Garbage,4,School Area,Medium
Garbage scattered everywhere causing problems,Garbage,8,Residential,High
Drain blockage for 7 days and also Electric pole sparking dangerous situation,Drainage,7,Residential,High
Sewage overflow and also Garbage not collected for {} days,Drainage,1,Highway,Critical
Drain blockage for 5 days and also Uneven road surface since many days,Drainage,5,Highway,Critical
Drain water mixed on road please resolve soon,Drainage,10,Residential,High
Dirty watr coming from taps,Water Issue,1,Highway,Critical
Drain blockage for 9 days,Drainage,9,Market,High
Road sinking problem and also Overflowing dustbins near road citizens suffering,Road Damage,3,Highway,Critical
Low water pressure in area,Water Issue,2,School Area,Low
Road cracked badly after rain kindly look into this,Road Damage,9,School Area,High
Dirty water coming from taps causing problems,Water Issue,9,School Area,High
Road sinking problem causing problems,Road Damage,4,Hospital Area,Medium
Water logging problem and also Big pothole near school,Drainage,5,Hospital Area,Medium
Road sinking problem please resolve soon,Road Damage,9,Market,High
Road sinking problem kindly look into this,Road Damage,7,Market,High
Drain blockage for 1 days since many days,Drainage,1,Residential,Low
Overflowing dustbins near road and also Garbage scattered everywhere since many days,Garbage,7,Market,High
Water logging problem kindly look into this,Drainage,7,Hospital Area,High
Drain cleaning required urgently and also Sewage overflow citizens suffering,Drainage,4,Highway,Critical
Frequent power cuts and also No proper watr supply citizens suffering,Electricity,2,Residential,Low
Uneven road surface and also Sewage overflow not fixed yet,Road Damage,1,Market,Low
Garbage not collected for 9 days and also Uneven road surface,Garbage,9,Market,High
Dirty water coming from taps dangerous situation,Water Issue,4,School Area,High
Garbage scattered everywhere,Garbage,3,Market,Low
Uneven road surface,Road Damage,7,Hospital Area,High
No proper water supply and also Water leakage for {} days,Water Issue,8,School Area,High
Overflowing dustbins near road,Garbage,3,Market,Low
Pipeline burst near market kindly look into this,Water Issue,3,School Area,Low
Garbage scattered everywhere not fixed yet,Garbage,7,School Area,High
Water logging problem,Drainage,1,School Area,Low
Electric pole sparking very urgent,Electricity,7,Residential,High
Loose electric wires hanging and also Drain watr mixed on road causing problems,Electricity,7,Highway,Critical
Drain cleaning required urgently not fixed yet,Drainage,5,School Area,Medium
Waste dumping issue,Garbage,6,School Area,Medium
Water leakage for 10 days immediate action needed,Water Issue,10,Highway,Critical
Water logging problem kindly look into this,Drainage,8,School Area,High
Pipeline burst near market,Water Issue,2,Highway,Critical
Streetlight not working not fixed yet,Electricity,3,Residential,Low
Garbage not collected for 10 days please resolve soon,Garbage,10,Residential,High
Road cracked badly after rain not fixed yet,Road Damage,5,Hospital Area,Medium
Low water pressure in area,Water Issue,9,Hospital Area,High
Low water pressure in area and also Frequent power cuts,Water Issue,10,Highway,Critical
Bad smell due to garbage,Garbage,8,Residential,High
Road sinking problem not fixed yet,Road Damage,2,School Area,Low
Overflowing dustbins near road,Garbage,6,School Area,Medium
Drain blockage for 3 days kindly look into this,Drainage,3,Hospital Area,Low
Road cracked badly after rain citizens suffering,Road Damage,3,Hospital Area,Low
Drain blockage for 1 days citizens suffering,Drainage,1,Market,Low
Road cracked badly after rain immediate action needed,Road Damage,3,School Area,Low
Low water pressure in area citizens suffering,Water Issue,8,Residential,High
Uneven road surface very urgent,Road Damage,7,School Area,High
Water logging problem and also Water logging problem,Drainage,7,Hospital Area,High
